day_depth,Light Extinction Coefficient,night_depth,Daphnia Size,StartingMass,growth,Daphnia Density,Fish Starting Mass,StartingLength,Site,Month,Year
10.301000000000007,0.435,36.901000000000032,1.13,21.402863037364387,1.4028630373643878,48240.0,21.402863037364387,131.05417742889119,Fall Creek,June,2016
10.301000000000007,0.435,36.901000000000032,1.13,22.87439969262951,1.4715366552651221,48240.0,22.87439969262951,133.82547924104063,Fall Creek,June,2016
10.301000000000007,0.435,36.901000000000032,1.13,24.416529014688592,1.5421293220590808,48240.0,24.416529014688592,136.6015632059501,Fall Creek,June,2016
10.301000000000007,0.435,36.901000000000032,1.13,26.031181703770663,1.6146526890820727,48240.0,26.031181703770663,139.38227351043105,Fall Creek,June,2016
10.301000000000007,0.435,36.901000000000032,1.13,27.720299734583065,1.689118030812403,48240.0,27.720299734583065,142.16746015327891,Fall Creek,June,2016
10.401000000000007,0.435,36.901000000000032,1.13,29.485838706667305,1.7655389720842392,48240.0,29.485838706667305,144.95698283310662,Fall Creek,June,2016
10.401000000000007,0.435,36.901000000000032,1.13,31.329776266551061,1.8439375598837564,48240.0,31.329776266551061,147.75072283009729,Fall Creek,June,2016
10.401000000000007,0.435,36.901000000000032,1.13,33.254088217851248,1.9243119513001843,48240.0,33.254088217851248,150.54854587718677,Fall Creek,June,2016
10.401000000000007,0.435,36.901000000000032,1.13,35.260760323732647,2.0066721058813974,48240.0,35.260760323732647,153.350322369666,Fall Creek,June,2016
10.401000000000007,0.435,36.901000000000032,1.13,37.351787971885351,2.0910276481527066,48240.0,37.351787971885351,156.15592712702619,Fall Creek,June,2016
10.401000000000007,0.435,36.901000000000032,1.13,39.529175846764453,2.177387874879102,48240.0,39.529175846764453,158.96523917064565,Fall Creek,June,2016
10.401000000000007,0.435,36.901000000000032,1.13,41.794937608840357,2.2657617620759063,48240.0,41.794937608840357,161.77814151603349,Fall Creek,June,2016
10.401000000000007,0.435,36.901000000000032,1.13,44.151095580621025,2.3561579717806671,48240.0,44.151095580621025,164.59452097846705,Fall Creek,June,2016
10.401000000000007,0.435,36.901000000000032,1.13,46.599680439219419,2.4485848585983923,48240.0,46.599680439219419,167.41426799096925,Fall Creek,June,2016
10.401000000000007,0.435,36.901000000000032,1.13,49.142730915250738,2.5430504760313162,48240.0,49.142730915250738,170.23727643366928,Fall Creek,June,2016
10.401000000000007,0.435,36.901000000000032,1.13,51.782293497854539,2.6395625826038018,48240.0,51.782293497854539,173.06344347367681,Fall Creek,June,2016
10.401000000000007,0.435,36.901000000000032,1.13,54.520422145646712,2.7381286477921716,48240.0,54.520422145646712,175.89266941467818,Fall Creek,June,2016
10.301000000000007,0.435,36.901000000000032,1.13,57.358865326735582,2.8384431810888726,48240.0,57.358865326735582,178.72455095061477,Fall Creek,June,2016
10.301000000000007,0.435,36.901000000000032,1.13,60.299954593864527,2.9410892671289446,48240.0,60.299954593864527,181.5592749081319,Fall Creek,June,2016
10.301000000000007,0.435,36.901000000000032,1.13,63.345761105594583,3.045806511730059,48240.0,63.345761105594583,184.39675012062946,Fall Creek,June,2016
10.201000000000006,0.435,36.901000000000032,1.13,66.497667835373065,3.1519067297784802,48240.0,66.497667835373065,187.236272703201,Fall Creek,June,2016
10.201000000000006,0.435,36.901000000000032,1.13,69.758374603012683,3.2607067676396153,48240.0,69.758374603012683,190.07834478607657,Fall Creek,June,2016
10.201000000000006,0.435,36.901000000000032,1.13,73.12996607141784,3.3715914684051524,48240.0,73.12996607141784,192.92288270315478,Fall Creek,June,2016
10.201000000000006,0.435,36.901000000000032,1.13,76.614532256806655,3.4845661853888101,48240.0,76.614532256806655,195.76980509497059,Fall Creek,June,2016
10.101000000000006,0.435,36.901000000000032,1.13,80.212951916041106,3.5984196592344504,48240.0,80.212951916041106,198.61808497156977,Fall Creek,June,2016
10.101000000000006,0.435,36.901000000000032,1.13,83.928427231002843,3.715475314961735,48240.0,83.928427231002843,201.46856483857457,Fall Creek,June,2016
10.101000000000006,0.435,36.901000000000032,1.13,87.763057272819651,3.834630041816808,48240.0,87.763057272819651,204.321169701147,Fall Creek,June,2016
10.101000000000006,0.435,36.901000000000032,1.13,91.7189453682644,3.9558880954447515,48240.0,91.7189453682644,207.1758265239508,Fall Creek,June,2016
10.001000000000007,0.435,36.901000000000032,1.13,95.796346064009128,4.0774006957447266,48240.0,95.796346064009128,210.03118576837275,Fall Creek,June,2016
10.001000000000007,0.435,36.901000000000032,1.13,99.999068887839258,4.2027228238301264,48240.0,99.999068887839258,212.88842717345372,Fall Creek,June,2016
