depth,temp,chla,do,sal,ph
2.476,23.3228790374,0.0258620621683,8.27032086453,0.03,8.46204646759
2.976,23.2249368125,0.0252102686848,8.27043914911,0.03,8.46079146861
3.476,23.1466722544,0.0255309089484,8.26339015209,0.03,8.44731599378
3.976,23.0844562356,0.0250789118723,8.25837449683,0.03,8.42835179823
4.476,22.9837778446,0.0263031363341,8.26028874403,0.03,8.39981436326
4.976,22.9339484043,0.0274469577243,8.25577809059,0.03,8.38864573414
5.476,22.865937449,0.0289438419329,8.24693725534,0.03,8.37185209083
5.976,22.7710410494,0.0290382732477,8.23806028088,0.03,8.35192703555
6.476,22.6383665094,0.0330919193204,8.22537313586,0.03,8.33109247633
6.976,22.4255280046,0.0389275463291,8.19915126545,0.03,8.28441703372
7.476,22.1697134119,0.0452387408592,8.1412635036,0.03,8.22036037759
7.976,21.8772792906,0.0514590116552,8.05484951384,0.03,8.14437953711
8.476,21.542902004,0.0563513603902,7.95923552086,0.03,8.04474118717
8.976,21.2885861173,0.0617221686019,7.87334534296,0.03,7.99310581895
9.476,20.9804222587,0.066333965784,7.81036746461,0.03,7.92841427358
9.976,20.7940995396,0.0677563537807,7.74618906754,0.03,7.92789558782
10.476,20.6842650291,0.0678095565754,7.7030398103,0.03,7.97164863278
10.976,20.5211991404,0.066208167486,7.69794388094,0.03,8.01097704968
11.476,20.3111873537,0.0616417813762,7.71146657919,0.03,8.04625139266
11.976,20.0224849068,0.0547587510469,7.7309584952,0.03,8.04548148955
12.476,19.731274316,0.0464996430705,7.73916145053,0.03,8.03814453996
12.976,19.3720794205,0.0377408705402,7.73641939037,0.03,8.01512753116
13.476,18.8701458645,0.0306371778745,7.74096094611,0.03,7.93294648134
13.976,18.3684069335,0.0246051048879,7.73540049835,0.03,7.85171000204
14.476,18.0574994759,0.0213816934426,7.73392414674,0.03,7.83242007508
14.976,17.6847673067,0.0198170814485,7.70185119749,0.03,7.79190783322
15.476,17.451082463,0.0192688869807,7.67971609807,0.03,7.80188256216
15.976,17.0687847078,0.0174878435421,7.64095379411,0.03,7.7599622021
16.476,16.7286560204,0.0152823238528,7.59501302652,0.03,7.75432372077
16.976,16.3863580067,0.0118918643021,7.54462767081,0.03,7.75588184401
17.476,16.1323641571,0.0107501861713,7.49387944449,0.03,7.78111893809
17.976,15.6596513743,0.00975408675251,7.43965179779,0.0299016984792,7.77842492743
18.476,15.300616978,0.0103584841691,7.40576657144,0.0298702230411,7.80536510498
18.976,14.8518183935,0.0117263300783,7.33797179417,0.0290461305559,7.79766648515
19.476,14.2745078039,0.0120155595225,7.2928778134,0.028781039825,7.80257610065
19.976,13.6460156661,0.0106114296208,7.24623488002,0.027535235367,7.78977687681
20.476,13.0625236697,0.0104869720997,7.21389993605,0.0271471158316,7.78889462631
20.976,12.3477012022,0.00891354056774,7.17191713875,0.0263811035384,7.75642478705
21.476,11.7376277307,0.00832410050855,7.14921188343,0.0253909482128,7.73194478129
21.976,11.3107393779,0.00698782029241,7.12326160926,0.0252783078308,7.74745273227
22.476,10.7449375965,0.00683431791644,7.13660630533,0.0256167294981,7.76653093529
22.976,10.2991123017,0.00773830710092,7.16984394394,0.0247246827997,7.77496913878
23.476,9.85080333761,0.00954706215306,7.19275743987,0.0252044624471,7.78601048293
23.976,9.32246569324,0.00853513178746,7.18959280961,0.0241622001177,7.77769102714
24.476,8.84167216966,0.00546057784594,7.23675153252,0.023543013331,7.77196139771
24.976,8.53028220653,0.00323733206621,7.24431437667,0.0230370231909,7.78027143636
25.476,8.19168003959,0.00100867916959,7.25834923352,0.021708755864,7.7752585193
25.976,8.01723676214,-0.00266057564988,7.29506729805,0.0209066028757,7.76844662122
26.476,7.87482311473,-0.0061172087675,7.32253669657,0.0206867200637,7.77061507981
26.976,7.72938672407,-0.00627057398227,7.3391588234,0.02,7.7687096373
27.476,7.56029446191,-0.00564593778822,7.36667019307,0.02,7.76583046661
